gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBR225W,0.82058513,0.37514478,4.0,mid
YBR226C,0.385977,0.25998,4.0,mid
YBR227C,0.5722085,0.16073313,0.0,mid
YBR228W,0.307221,0.1434292,0.0,low_c
YBR229C,0.6134456,0.22959547,0.0,mid
YBR230C,0.92009354,0.5619938,22.0,mid
YBR230W-A,0.6137453,0.5608638,19.0,mid
YBR231C,0.749953,0.27140146,0.0,mid
YBR232C,0.6827068,0.3997169,4.0,mid
YBR233W,0.8423733,0.20409264,0.0,mid
YBR233W-A,0.63754904,0.3583165,2.0,mid
YBR234C,0.84891224,0.23124342,0.0,mid
YBR235W,0.6342194,0.21312171,0.0,mid
YBR236C,0.8807784,0.1858018,3.0,mid
YBR237W,0.8078889,0.25184005,0.0,mid
YBR238C,0.8058955,0.34537926,5.0,mid
YBR239C,0.90564924,0.32777652,2.0,mid
YBR240C,0.90176535,0.6735919,19.0,mid
YBR241C,0.7860049,0.4640671,14.0,mid
YBR242W,0.8513452,0.26212877,5.0,mid
YBR243C,0.7044828,0.18568975,0.0,mid
YBR244W,0.8223623,1.2610935,78.0,mid
YBR245C,0.5122508,0.20328537,0.0,mid
YBR246W,0.32521865,0.2030247,0.0,low_c
YBR247C,0.86717665,0.38004377,8.0,mid
YBR248C,0.892141,0.46322113,11.0,mid
YBR249C,0.8946658,0.5136405,21.0,mid
YBR250W,0.95362306,0.35018665,2.0,high_c
YBR251W,0.8437978,0.14333391,0.0,mid
YBR252W,0.66314185,0.32834268,3.0,mid
YBR253W,0.91581887,0.2503839,1.0,mid
YBR254C,0.7035907,0.26177263,1.0,mid
YBR255C-A,0.9018709,0.18415383,1.0,mid
YBR255W,0.55926,0.22495027,0.0,mid
YBR256C,0.81023604,0.3494123,5.0,mid
YBR257W,0.6563435,0.2676974,1.0,mid
YBR258C,0.6574922,0.30292815,0.0,mid
YBR259W,0.7226877,0.25108343,0.0,mid
YBR260C,0.7717314,0.2311034,0.0,mid
YBR261C,0.5322139,0.1651288,0.0,mid
YBR262C,0.7104007,0.33730054,1.0,mid
YBR263W,0.8619681,0.22362524,2.0,mid
YBR264C,0.60906506,0.22053279,0.0,mid
YBR265W,0.5492143,0.14187536,0.0,mid
YBR266C,0.5964416,0.46552995,7.0,mid
YBR267W,0.3989112,0.41599056,11.0,mid
YBR268W,0.47668532,0.33340216,0.0,mid
YBR269C,0.6824729,0.2710816,0.0,mid
YBR270C,0.8301313,0.24368514,0.0,mid
YBR271W,0.81087136,0.32398623,6.0,mid
YBR272C,0.7814292,0.23944429,0.0,mid
YBR273C,0.5669297,0.16015644,0.0,mid
YBR274W,0.8783219,0.20985882,0.0,mid
YBR275C,0.49189818,0.22372471,0.0,mid
YBR276C,0.6603128,0.20408943,0.0,mid
YBR277C,0.4156602,0.44124568,6.0,mid
YBR278W,0.7406561,0.16303189,0.0,mid
